Generation 3523
47.87,[352.79, 345.17, 220.81, 384.34, 384.95, 480.61, 248.15, 420.23, 323.24, 34.89, 33.06, 45.27, 32.75, 33.55, 47.71, 36.43, 61.52, 45.53, 31.67, 18.63, 90.06, 100.23, 93.51, -2.71, 0.33, -1.1, -4.33, 0.4, 4.58, 2.2, -0.19, 5.61, 2.44, -0.7, -16.59, -3.01, -7.91, 1.88, -2.53, 16.44, 2.52, -2.95]
48.05,[353.77, 342.43, 250.22, 393.6, 388.33, 480.56, 250.97, 419.79, 327.95, 33.92, 34.14, 44.71, 32.72, 30.28, 46.11, 35.57, 62.03, 47.05, 31.58, 18.33, 100.55, 101.08, 100.19, -2.87, 0.35, -1.1, -4.86, -0.05, 3.85, 1.29, -0.16, 5.54, 2.56, -0.24, -17.44, -0.87, -8.38, 1.69, -0.83, 17.28, 1.96, -1.61]
48.05,[353.77, 342.43, 250.22, 393.6, 388.33, 480.56, 250.97, 419.79, 327.95, 33.92, 34.14, 44.71, 32.72, 30.28, 46.11, 35.57, 62.03, 47.05, 31.58, 18.33, 100.55, 101.08, 100.19, -2.87, 0.35, -1.1, -4.86, -0.05, 3.85, 1.29, -0.16, 5.54, 2.56, -0.24, -17.44, -0.87, -8.38, 1.69, -0.83, 17.28, 1.96, -1.61]
48.30,[349.94, 350.38, 256.66, 398.11, 392.4, 485.46, 254.03, 420.76, 331.86, 33.88, 33.25, 43.19, 32.2, 30.49, 45.92, 35.89, 60.98, 46.46, 30.86, 18.44, 99.78, 100.04, 99.89, -2.48, 0.09, -0.44, -4.91, -0.08, 4.23, 1.47, -0.25, 5.52, 2.88, 0.91, -18.0, 0.66, -7.82, 1.4, -0.32, 17.25, 3.76, -1.84]
48.32,[352.81, 338.21, 262.04, 394.6, 378.14, 476.33, 267.63, 415.46, 335.46, 34.56, 35.65, 45.16, 34.47, 29.01, 40.89, 36.59, 61.79, 47.82, 31.27, 18.62, 174.98, 95.05, 98.65, -2.64, 0.41, -0.9, -2.99, -0.28, 3.2, 0.52, 0.05, 5.56, 2.14, -0.27, -9.74, 1.92, -8.24, 1.37, -1.37, 17.16, 2.4, -2.39]
48.37,[352.78, 345.17, 218.45, 384.31, 384.92, 480.63, 248.12, 420.22, 323.41, 34.89, 33.05, 45.27, 32.74, 33.56, 47.76, 36.43, 61.5, 45.52, 31.66, 18.63, 89.94, 100.24, 93.45, -2.71, 0.33, -1.1, -4.33, 0.4, 4.58, 2.21, -0.19, 5.61, 2.44, -0.71, -16.57, -3.02, -7.91, 1.88, -2.55, 16.45, 2.53, -2.96]
48.38,[355.22, 346.02, 265.19, 392.11, 391.41, 509.04, 262.35, 429.05, 343.0, 34.2, 35.21, 43.65, 35.04, 29.53, 45.32, 36.64, 61.4, 48.05, 32.31, 18.34, 99.99, 97.06, 99.53, -2.88, 0.27, -1.09, -3.47, -0.24, 3.11, 0.63, -0.07, 5.05, 2.16, -0.65, -21.75, -0.86, -7.62, 1.78, -2.1, 17.66, 0.61, -2.36]
48.42,[355.53, 345.69, 217.33, 390.52, 387.71, 508.19, 255.5, 420.14, 328.59, 34.1, 33.38, 45.25, 32.71, 28.92, 46.08, 35.55, 61.99, 46.04, 31.75, 18.15, 82.42, 100.56, 92.7, -2.72, 0.31, -1.01, -4.33, 0.35, 4.37, 1.41, -0.17, 5.57, 2.36, -0.57, -16.86, -1.39, -7.92, 1.55, 0.03, 16.65, 2.14, -2.43]
48.58,[353.18, 343.39, 416.39, 390.03, 387.86, 475.83, 255.36, 421.05, 316.46, 34.76, 34.53, 45.29, 33.3, 32.04, 43.5, 35.59, 63.15, 46.64, 32.04, 18.92, 100.0, 99.96, 100.18, -2.68, 0.39, -1.13, -4.72, 0.18, 3.87, 2.1, -0.16, 5.56, 2.27, -0.29, -17.97, -1.77, -8.28, 1.76, -0.01, 15.8, 1.46, -2.67]
48.58,[353.18, 338.32, 279.29, 395.17, 379.82, 482.33, 262.36, 415.03, 340.28, 34.65, 35.64, 44.72, 34.42, 30.2, 41.89, 37.03, 61.83, 47.12, 31.35, 18.75, 159.99, 95.62, 98.91, -2.68, 0.44, -0.92, -3.22, -0.27, 3.22, 0.79, -0.01, 5.51, 2.21, -0.24, -11.95, 0.85, -8.32, 1.42, -1.2, 17.31, 2.4, -2.18]
