Generation 948
14.31,[329.712, 59.358, 831.219, 515.89, 116.828, 35.943, 47.673, 27.805, 148.445, 3.439, 84.602, 0.372, 4.527, 0.001, 0.001, 83.033]
14.31,[329.764, 59.511, 830.143, 515.962, 116.529, 35.921, 47.461, 27.756, 148.947, 3.597, 84.004, 0.368, 4.524, 0.002, 0.001, 82.737]
14.31,[329.748, 59.512, 830.246, 515.94, 116.554, 35.924, 47.482, 27.765, 148.996, 3.59, 84.025, 0.368, 4.526, 0.001, 0.001, 82.764]
14.31,[329.705, 59.634, 830.526, 515.909, 116.616, 35.93, 47.448, 27.787, 149.193, 3.58, 84.013, 0.368, 4.53, 0.001, 0.001, 82.689]
14.31,[329.744, 59.906, 830.663, 515.987, 116.639, 35.927, 47.205, 27.768, 149.053, 3.555, 84.014, 0.37, 4.53, 0.001, 0.001, 82.286]
14.31,[329.74, 58.657, 831.626, 516.109, 116.9, 35.991, 47.767, 27.725, 147.41, 3.118, 85.176, 0.389, 4.512, 0.0, 0.001, 83.051]
14.31,[329.758, 59.981, 830.937, 515.988, 116.706, 35.928, 47.145, 27.77, 148.89, 3.508, 84.149, 0.371, 4.531, 0.001, 0.001, 82.172]
14.31,[329.822, 59.507, 829.769, 516.042, 116.439, 35.913, 47.386, 27.721, 148.77, 3.621, 83.929, 0.368, 4.518, 0.002, 0.001, 82.639]
14.31,[329.73, 59.827, 830.372, 515.986, 116.568, 35.927, 47.268, 27.767, 149.227, 3.604, 83.871, 0.368, 4.529, 0.001, 0.001, 82.408]
14.31,[329.771, 59.989, 830.828, 516.0, 116.684, 35.922, 47.157, 27.765, 148.883, 3.514, 84.099, 0.37, 4.53, 0.001, 0.001, 82.192]
14.31,[329.771, 59.994, 830.858, 515.999, 116.691, 35.923, 47.152, 27.766, 148.868, 3.509, 84.114, 0.37, 4.53, 0.001, 0.001, 82.183]
14.31,[329.77, 59.993, 830.829, 515.998, 116.684, 35.922, 47.155, 27.766, 148.889, 3.515, 84.097, 0.37, 4.53, 0.001, 0.001, 82.19]
14.31,[329.79, 59.716, 830.053, 516.05, 116.527, 35.91, 47.363, 27.739, 149.073, 3.623, 83.768, 0.364, 4.523, 0.002, 0.001, 82.539]
14.32,[329.766, 58.959, 830.509, 516.206, 116.936, 35.921, 47.524, 27.736, 149.293, 3.732, 83.235, 0.367, 4.527, 0.001, 0.001, 82.443]
14.32,[329.803, 59.428, 829.687, 516.073, 116.248, 35.924, 47.401, 27.71, 148.866, 3.419, 84.011, 0.373, 4.512, 0.001, 0.001, 82.782]
14.32,[329.768, 59.886, 830.282, 516.01, 116.558, 35.913, 47.249, 27.756, 149.167, 3.599, 83.81, 0.366, 4.529, 0.001, 0.001, 82.357]
14.32,[329.768, 59.881, 830.252, 516.01, 116.551, 35.913, 47.254, 27.755, 149.183, 3.604, 83.794, 0.365, 4.529, 0.001, 0.001, 82.366]
