Record started: 2021-08-04 20:15:09.826392 (Original fitness from cfg file: 1284.450442507655)
['MDEXEC', 'charmm']
['MDINP', 'Molecules/im1h_clap/im1h.inp']
['MDOUT', '/dev/shm/im1h_clap_opt.log']
['QMOUT', 'Molecules/im1h_clap/im1h_init.log']
['PARAM_FILENAME', 'FF_GenOpt_results/im1h_clap/parameters.str']
['POPULATION_FILENAME', 'FF_GenOpt_results/im1h_clap/lastPopulation_im1h_clap.txt']
['LOG_FILENAME', 'FF_GenOpt_results/im1h_clap/convergence_im1h_clap.log']
['GENERATIONS', '10000']
['POPULATION_SIZE', '10']
['MUTATIONS_PER_GENERATION', '50']
['STEP_SIZE', '0.05']
['CROSSOVER_BLX', '0.7']
['CROSSOVER_SBX', '0.25']
['CROSSOVER_UNIFORM', '0.05']
['MINIMUM_IMPROVEMENT', '0.0001']
['MINIMUM_DIVERSITY', '0.0001']
['PARAMETER', 'im1hb1', 'bond', '0', '1000', '340']
['PARAMETER', 'im1hb2', 'bond', '0', '1000', '519.6525']
['PARAMETER', 'im1hb3', 'bond', '0', '1000', '367']
['PARAMETER', 'im1hb4', 'bond', '0', '1000', '426.7151']
['PARAMETER', 'im1hb5', 'bond', '0', '1000', '367']
['PARAMETER', 'im1hb6', 'bond', '0', '1000', '476.6817']
['PARAMETER', 'im1hb7', 'bond', '0', '1000', '336.7752']
['PARAMETER', 'im1hb8', 'bond', '0', '1000', '474']
['PARAMETER', 'im1ha1', 'angle', '0', '120', '33']
['PARAMETER', 'im1ha2', 'angle', '0', '120', '34.9766']
['PARAMETER', 'im1ha3', 'angle', '0', '120', '69.953']
['PARAMETER', 'im1ha4', 'angle', '0', '120', '69.953']
['PARAMETER', 'im1ha5', 'angle', '0', '120', '69.953']
['PARAMETER', 'im1ha6', 'angle', '0', '120', '35']
['PARAMETER', 'im1ha7', 'angle', '0', '120', '69.953']
['PARAMETER', 'im1ha8', 'angle', '0', '120', '35']
['PARAMETER', 'im1ha9', 'angle', '0', '120', '37.4749']
['PARAMETER', 'im1ha10', 'angle', '0', '120', '34.9766']
['PARAMETER', 'im1ha11', 'angle', '0', '120', '34.9766']
['PARAMETER', 'im1ha12', 'angle', '0', '120', '69.953']
['PARAMETER', 'im1hd1', 'dihedral', '-10', '50', '1.499']
['PARAMETER', 'im1hd2', 'dihedral', '-10', '50', '1.499']
['PARAMETER', 'im1hd3', 'dihedral', '-10', '50', '1.499']
['PARAMETER', 'im1hd4', 'dihedral', '-10', '50', '0.062']
['PARAMETER', 'im1hd5', 'dihedral', '-10', '50', '0']
['PARAMETER', 'im1hd6', 'dihedral', '-10', '50', '5.371']
['PARAMETER', 'im1hd7', 'dihedral', '-10', '50', '5.371']
['PARAMETER', 'im1hd8', 'dihedral', '-10', '50', '1.499']
['PARAMETER', 'im1hd9', 'dihedral', '-10', '50', '1.499']
['PARAMETER', 'im1hd10', 'dihedral', '-10', '50', '1.499']
['PARAMETER', 'im1hd11', 'dihedral', '-10', '50', '2.324']
['PARAMETER', 'im1hd12', 'dihedral', '-10', '50', '2.324']
['PARAMETER', 'im1hd13', 'dihedral', '-10', '50', '2.324']
['PARAMETER', 'im1hd14', 'dihedral', '-10', '50', '5.371']
['PARAMETER', 'im1hd15', 'dihedral', '-10', '50', '2.324']
['PARAMETER', 'im1hd16', 'dihedral', '-10', '50', '2.324']
['PARAMETER', 'im1hd17', 'dihedral', '-10', '50', '2.324']

Gen	BestF	MeanF	TEvals	GEvals	REvals	t	t/eval	Delta	Improv	Divers
88	607.57	738.72	18227	10070	8157	5989.59	0.33	0.00	0.00	2081.40
89	607.57	738.72	18440	10182	8258	6059.37	0.33	0.00	0.00	1908.28
90	607.57	738.72	18655	10296	8359	6131.59	0.33	0.00	0.00	1440.45
91	607.57	738.72	18870	10410	8460	6200.02	0.33	0.00	0.00	1525.80
92	607.57	738.72	19085	10524	8561	6274.42	0.33	0.00	0.00	313.10
93	607.57	738.72	19294	10632	8662	6342.85	0.33	0.00	0.00	138730.88
94	607.57	738.72	19507	10744	8763	6410.51	0.33	0.00	0.00	81736.12
95	607.57	738.72	19720	10856	8864	6480.57	0.33	0.00	0.00	775.57
96	607.57	738.72	19935	10970	8965	6548.90	0.33	0.00	0.00	82068.01
97	607.57	738.72	20154	11088	9066	6620.51	0.33	0.00	0.00	307.68
98	607.57	738.72	20370	11203	9167	6690.59	0.33	0.00	0.00	176755.67
99	607.57	738.72	20581	11313	9268	6762.69	0.33	0.00	0.00	43326.76
100	607.57	738.72	20794	11425	9369	6832.98	0.33	0.00	0.00	23329.23
101	607.57	738.72	21011	11541	9470	6906.33	0.33	0.00	0.00	498.43
102	607.57	738.72	21226	11655	9571	6981.61	0.33	0.00	0.00	44823.11
103	607.57	738.72	21447	11775	9672	7053.23	0.33	0.00	0.00	1479.00
104	607.57	738.72	21657	11884	9773	7120.93	0.33	0.00	0.00	44709.35
105	607.57	738.72	21870	11996	9874	7193.45	0.33	0.00	0.00	2793.56
106	607.57	738.72	22083	12108	9975	7264.77	0.33	0.00	0.00	83468.57
107	607.57	738.72	22293	12217	10076	7332.47	0.33	0.00	0.00	2230.91
108	607.57	738.70	22503	12326	10177	7403.45	0.33	0.00	0.00	64955.73
109	607.57	738.66	22712	12434	10278	7474.35	0.33	0.00	0.00	113455.76
110	607.57	738.66	22924	12545	10379	7545.40	0.33	0.00	0.00	1954.54
111	607.57	738.66	23137	12657	10480	7617.49	0.33	0.00	0.00	23605.10
112	607.57	738.66	23350	12769	10581	7685.55	0.33	0.00	0.00	1031.89
113	607.57	738.66	23563	12881	10682	7755.60	0.33	0.00	0.00	636.04
114	607.57	738.66	23774	12991	10783	7823.40	0.33	0.00	0.00	1853.78
115	607.57	738.66	23989	13105	10884	7892.70	0.33	0.00	0.00	1212.69
116	607.57	738.66	24203	13218	10985	7964.36	0.33	0.00	0.00	1757.42
117	607.57	738.66	24415	13329	11086	8031.74	0.33	0.00	0.00	1970.55
118	607.57	738.66	24630	13443	11187	8101.53	0.33	0.00	0.00	123299.25
119	607.57	738.66	24847	13559	11288	8169.05	0.33	0.00	0.00	2201.31
120	607.57	738.66	25057	13668	11389	8237.22	0.33	0.00	0.00	100251.13
121	607.57	738.66	25269	13779	11490	8306.56	0.33	0.00	0.00	101653.49
122	607.57	738.66	25485	13894	11591	8376.58	0.33	0.00	0.00	23376.93
123	607.57	738.66	25698	14006	11692	8445.82	0.33	0.00	0.00	44602.45
124	607.57	738.66	25910	14117	11793	8516.64	0.33	0.00	0.00	82508.23
125	607.57	738.66	26123	14229	11894	8586.26	0.33	0.00	0.00	42248.83
126	607.57	738.66	26341	14346	11995	8657.41	0.33	0.00	0.00	850.04
127	607.57	738.66	26554	14458	12096	8726.56	0.33	0.00	0.00	179531.33
128	607.57	738.66	26768	14571	12197	8793.17	0.33	0.00	0.00	1517.75
129	607.57	738.66	26977	14679	12298	8858.89	0.33	0.00	0.00	2515.33
130	607.57	738.66	27191	14792	12399	8929.55	0.33	0.00	0.00	138574.79
131	607.57	738.66	27407	14907	12500	9002.23	0.33	0.00	0.00	1640.07
132	607.57	738.66	27626	15025	12601	9073.46	0.33	0.00	0.00	1269.95
133	607.57	738.66	27839	15137	12702	9141.72	0.33	0.00	0.00	100538.52
134	607.57	738.66	28057	15254	12803	9211.48	0.33	0.00	0.00	58415.29
135	607.57	738.66	28264	15360	12904	9279.18	0.33	0.00	0.00	1541.30
136	607.57	738.66	28477	15472	13005	9349.96	0.33	0.00	0.00	661.81
137	607.57	738.66	28690	15584	13106	9420.05	0.33	0.00	0.00	710.76
138	607.57	738.66	28900	15693	13207	9486.54	0.33	0.00	0.00	622.10
139	607.57	738.66	29112	15804	13308	9553.02	0.33	0.00	0.00	985.68
140	607.57	738.66	29331	15922	13409	9626.48	0.33	0.00	0.00	1783.49
141	607.57	738.66	29543	16033	13510	9693.73	0.33	0.00	0.00	715.69
142	607.57	738.66	29765	16154	13611	9767.83	0.33	0.00	0.00	23599.89
143	607.57	738.66	29977	16264	13713	9836.31	0.33	0.00	0.00	676.39
144	607.57	738.63	30193	16379	13814	9905.58	0.33	0.00	0.00	2210.01
145	607.57	738.46	30404	16489	13915	9972.74	0.33	0.00	0.00	901.60
146	607.57	738.18	30615	16599	14016	10041.46	0.33	0.00	0.00	1661.55
147	607.57	738.14	30833	16716	14117	10111.02	0.33	0.00	0.00	1561.80
148	607.57	738.11	31044	16826	14218	10179.75	0.33	0.00	0.00	2589.05
149	607.57	738.06	31252	16933	14319	10249.90	0.33	0.00	0.00	43337.84
150	607.57	737.89	31464	17044	14420	10319.18	0.33	0.00	0.00	44194.02
151	607.57	737.85	31677	17156	14521	10386.77	0.33	0.00	0.00	82456.72
152	607.57	737.84	31892	17270	14622	10455.91	0.33	0.00	0.00	1721.20
153	607.57	737.84	32106	17383	14723	10525.48	0.33	0.00	0.00	41479.60
154	607.57	737.84	32319	17495	14824	10599.34	0.33	0.00	0.00	41590.41
155	607.57	737.84	32535	17610	14925	10670.10	0.33	0.00	0.00	1488.27
156	607.57	737.83	32746	17720	15026	10740.28	0.33	0.00	0.00	23483.83
157	607.57	737.83	32955	17828	15127	10807.51	0.33	0.00	0.00	1011.22
158	607.57	737.83	33167	17939	15228	10877.25	0.33	0.00	0.00	509.65
159	607.57	737.83	33378	18049	15329	10948.48	0.33	0.00	0.00	100388.39
160	607.57	737.83	33592	18162	15430	11015.28	0.33	0.00	0.00	64591.26
161	607.57	737.83	33810	18279	15531	11085.12	0.33	0.00	0.00	522.39
162	607.57	737.83	34026	18394	15632	11157.79	0.33	0.00	0.00	195927.01
163	607.57	737.83	34242	18509	15733	11229.62	0.33	0.00	0.00	84239.07
164	607.57	737.83	34454	18620	15834	11296.02	0.33	0.00	0.00	1597.27
165	607.57	737.83	34664	18729	15935	11362.48	0.33	0.00	0.00	83055.47
166	607.57	737.83	34877	18841	16036	11433.27	0.33	0.00	0.00	495.77
167	607.57	737.83	35093	18956	16137	11504.11	0.33	0.00	0.00	42974.23
168	607.57	737.83	35306	19068	16238	11572.50	0.33	0.00	0.00	620.04
169	607.57	737.83	35519	19180	16339	11640.08	0.33	0.00	0.00	56993.40
170	607.57	737.83	35732	19292	16440	11708.03	0.33	0.00	0.00	100166.62
171	607.57	737.83	35942	19401	16541	11777.22	0.33	0.00	0.00	124892.43
172	607.57	737.83	36157	19515	16642	11846.58	0.33	0.00	0.00	661.05
173	607.57	737.83	36367	19624	16743	11913.30	0.33	0.00	0.00	23230.82
174	607.57	737.83	36583	19739	16844	11981.76	0.33	0.00	0.00	864.80
175	607.57	737.83	36796	19851	16945	12051.93	0.33	0.00	0.00	1184.76
176	607.57	737.83	37009	19963	17046	12121.86	0.33	0.00	0.00	1161.39
177	607.57	737.83	37222	20075	17147	12194.07	0.33	0.00	0.00	100026.33
