Generation 3806
57.53,[261.11, 163.32, 490.52, 68.96, 97.65, 113.5, 52.28, -0.63]
57.60,[210.57, 145.34, 562.52, 69.11, 88.37, 147.41, 39.91, -0.94]
57.69,[254.11, 224.26, 453.29, 55.21, 116.61, 130.27, 26.96, -0.66]
57.75,[238.77, 209.08, 463.19, 71.09, 89.09, 160.65, 10.19, 0.37]
57.81,[242.52, 235.78, 448.99, 59.86, 116.4, 129.48, 27.75, -0.7]
57.83,[244.54, 227.21, 475.37, 76.17, 83.56, 143.04, 18.02, 0.89]
57.90,[250.36, 129.64, 536.0, 65.76, 63.68, 156.32, 23.68, -1.56]
57.91,[246.46, 242.43, 510.6, 58.62, 71.43, 134.1, 47.38, -0.98]
57.91,[230.67, 192.8, 534.89, 30.76, 100.92, 160.73, 35.0, -0.98]
57.92,[239.18, 143.2, 473.38, 56.71, 96.38, 142.34, 12.46, -0.78]
58.00,[275.64, 253.56, 533.15, 78.31, 70.08, 109.21, 23.13, 0.73]
58.05,[232.05, 172.35, 465.18, 73.22, 65.31, 130.73, 32.94, 0.1]
58.16,[259.08, 127.17, 496.43, 60.19, 82.95, 138.6, 43.28, -0.26]
58.30,[243.64, 243.77, 552.68, 81.49, 53.48, 105.74, 41.24, -0.11]
58.34,[246.64, 246.12, 509.82, 57.88, 70.67, 133.37, 47.91, -0.95]
58.43,[261.15, 113.65, 493.09, 114.69, 94.77, 151.35, 33.33, -1.95]
58.57,[187.32, 171.15, 515.7, 88.37, 80.94, 156.73, 6.29, 0.08]
58.64,[276.84, 164.14, 540.98, 98.64, 90.62, 108.76, 44.83, -3.01]
58.66,[242.58, 165.67, 503.12, 80.73, 77.75, 157.62, 40.69, -0.08]
58.70,[261.31, 111.39, 491.93, 114.97, 95.03, 151.79, 33.35, -1.94]
58.75,[205.59, 123.21, 519.72, 47.88, 73.95, 158.23, 65.15, -1.33]
58.84,[238.83, 239.94, 488.82, 79.77, 90.44, 109.95, 11.09, -0.72]
58.86,[244.31, 345.71, 505.48, 62.72, 90.27, 115.8, 52.2, -2.08]
58.87,[271.14, 176.16, 491.8, 100.45, 68.59, 99.61, 42.19, 0.17]
58.96,[209.91, 227.64, 550.4, 68.71, 77.65, 129.86, 39.92, 0.36]
58.98,[238.92, 209.32, 462.63, 69.65, 89.01, 163.35, 10.21, 0.4]
58.99,[262.01, 349.98, 517.57, 80.12, 92.04, 89.93, 31.59, -2.19]
59.05,[271.29, 219.78, 534.19, 80.49, 96.48, 126.33, 47.46, -1.0]
59.06,[239.52, 199.79, 473.38, 76.9, 89.23, 157.99, 13.38, -0.16]
59.17,[227.24, 189.08, 453.84, 71.65, 75.77, 155.31, 36.04, 0.06]
59.30,[241.93, 334.15, 505.21, 54.57, 88.72, 107.41, 61.6, -1.41]
59.30,[263.4, 162.89, 497.18, 67.1, 107.33, 112.87, 56.09, -0.97]
59.41,[281.16, 235.5, 488.71, 88.56, 112.99, 127.84, 18.26, -2.01]
59.45,[222.89, 185.77, 547.97, 109.85, 80.99, 175.63, 27.91, -1.03]
59.46,[275.0, 184.17, 513.49, 98.3, 66.34, 99.57, 40.55, 0.27]
59.52,[202.67, 131.4, 520.45, 52.09, 73.14, 158.35, 28.3, -1.35]
59.54,[240.75, 178.24, 536.44, 80.01, 53.47, 116.84, 45.13, -0.78]
59.54,[185.48, 174.96, 511.79, 88.46, 82.1, 156.99, 7.13, -0.09]
59.57,[218.95, 193.11, 517.49, 76.74, 55.03, 121.78, 43.93, -0.88]
59.58,[257.72, 128.78, 514.33, 89.57, 68.88, 138.24, 47.91, -1.54]
59.71,[230.05, 144.93, 483.34, 45.07, 79.73, 170.84, 31.65, -1.12]
59.73,[218.93, 193.39, 517.57, 76.65, 54.91, 121.67, 43.97, -0.87]
59.76,[192.67, 189.32, 474.12, 70.32, 69.49, 150.45, 31.04, -0.27]
59.78,[247.98, 238.0, 482.63, 79.19, 80.27, 132.56, 22.68, 1.19]
59.82,[227.95, 146.4, 482.4, 45.75, 79.7, 170.7, 31.39, -1.1]
59.92,[234.16, 281.17, 511.23, 82.08, 70.72, 104.45, 17.35, -0.07]
59.94,[205.61, 63.36, 485.96, 100.93, 99.05, 156.76, 25.24, -2.04]
60.05,[265.56, 81.72, 516.15, 61.97, 103.28, 157.34, 38.62, -1.42]
60.11,[236.92, 179.3, 498.09, 31.18, 97.79, 154.31, 31.9, -0.55]
60.11,[211.9, 182.41, 478.34, 73.48, 74.67, 159.24, 26.24, 0.36]
60.12,[260.11, 141.05, 469.96, 34.23, 102.15, 152.73, 36.3, -1.59]
60.18,[300.66, 173.96, 532.88, 67.62, 90.62, 91.48, 48.93, -3.05]
60.22,[189.74, 187.67, 472.14, 69.8, 70.35, 152.22, 30.88, -0.29]
60.45,[260.51, 134.47, 495.72, 99.41, 103.87, 150.55, 32.01, -0.96]
60.56,[245.38, 262.99, 508.77, 54.32, 67.27, 129.99, 50.47, -0.81]
60.68,[244.28, 235.68, 476.35, 71.47, 115.65, 137.49, 29.56, -1.37]
60.90,[244.57, 235.54, 475.85, 71.7, 115.01, 136.95, 29.06, -1.34]
60.92,[259.3, 130.66, 477.38, 120.03, 101.36, 148.45, 34.58, -1.82]
60.98,[230.82, 164.91, 526.02, 19.62, 103.06, 149.19, 35.18, -0.99]
60.99,[255.82, 224.93, 516.84, 81.47, 50.89, 112.38, 34.66, 0.12]
60.99,[311.62, 245.42, 553.39, 82.32, 73.84, 85.62, 38.26, -1.34]
61.02,[232.95, 175.47, 499.16, 29.07, 98.21, 156.89, 34.09, -0.65]
61.08,[231.79, 121.23, 487.25, 46.48, 79.02, 155.29, 66.25, -1.12]
61.15,[252.35, 196.73, 489.78, 118.94, 82.83, 131.75, 26.11, -3.06]
61.20,[287.63, 300.62, 531.36, 90.06, 81.4, 92.58, 35.58, -0.4]
61.28,[229.94, 318.35, 535.64, 63.05, 93.43, 124.11, 27.56, -0.01]
61.35,[268.31, 218.53, 518.45, 83.57, 110.87, 86.57, 34.97, 1.0]
61.36,[228.15, 316.09, 536.15, 62.33, 93.48, 123.92, 27.94, 0.08]
61.38,[209.07, 191.45, 502.23, 74.34, 60.13, 131.99, 39.55, -0.67]
