Record started: 2021-08-04 20:16:00.335245 (Original fitness from cfg file: 144.5798283399431)
['MDEXEC', 'charmm']
['MDINP', 'Molecules/otf_clap/otf.inp']
['MDOUT', '/dev/shm/otf_clap_opt.log']
['QMOUT', 'Molecules/otf_clap/otf.log']
['PARAM_FILENAME', 'FF_GenOpt_results/otf_clap/parameters.str']
['POPULATION_FILENAME', 'FF_GenOpt_results/otf_clap/lastPopulation_otf_clap.txt']
['LOG_FILENAME', 'FF_GenOpt_results/otf_clap/convergence_otf_clap.log']
['GENERATIONS', '10000']
['POPULATION_SIZE', '200']
['MUTATIONS_PER_GENERATION', '50']
['STEP_SIZE', '0.05']
['CROSSOVER_BLX', '0.7']
['CROSSOVER_SBX', '0.25']
['CROSSOVER_UNIFORM', '0.05']
['MINIMUM_IMPROVEMENT', '0.0001']
['MINIMUM_DIVERSITY', '0.0001']
['PARAMETER', 'otfb1', 'bond', '0', '1000', '441.6']
['PARAMETER', 'otfb2', 'bond', '0', '1000', '232.9']
['PARAMETER', 'otfb3', 'bond', '0', '1000', '636.6']
['PARAMETER', 'otfa1', 'angle', '0', '200', '103.90']
['PARAMETER', 'otfa2', 'angle', '0', '200', '115.72']
['PARAMETER', 'otfa3', 'angle', '0', '200', '93.27']
['PARAMETER', 'otfa4', 'angle', '0', '200', '82.88']
['PARAMETER', 'otfd1', 'dihedral', '-20', '20', '0.173']

Gen	BestF	MeanF	TEvals	GEvals	REvals	t	t/eval	Delta	Improv	Divers
103	38.24	38.99	19545	11790	7755	5763.08	0.29	0.00	0.00	26.71
104	38.24	38.97	19761	11905	7856	5827.48	0.29	0.00	0.00	16.06
105	38.08	38.94	19877	12020	7857	5862.32	0.29	0.16	0.00	16.13
106	38.08	38.92	20093	12135	7958	5926.91	0.29	0.00	0.00	19.13
107	38.02	38.89	20207	12248	7959	5960.76	0.29	0.06	0.00	6.58
108	38.02	38.87	20423	12360	8063	6025.65	0.30	0.00	0.00	12.74
109	38.02	38.85	20639	12475	8164	6090.21	0.30	0.00	0.00	7.22
110	38.02	38.84	20854	12589	8265	6153.82	0.30	0.00	0.00	9.90
111	38.02	38.82	21068	12702	8366	6216.70	0.30	0.00	0.00	3.11
112	38.02	38.81	21281	12814	8467	6280.82	0.30	0.00	0.00	1.50
113	38.02	38.78	21497	12929	8568	6345.64	0.30	0.00	0.00	7.87
114	38.02	38.75	21715	13045	8670	6409.41	0.30	0.00	0.00	15.44
115	38.02	38.73	21933	13161	8772	6474.23	0.30	0.00	0.00	3.49
116	38.02	38.71	22149	13276	8873	6538.37	0.30	0.00	0.00	4.86
117	38.02	38.69	22366	13392	8974	6602.68	0.30	0.00	0.00	5.94
118	38.02	38.67	22587	13512	9075	6667.98	0.30	0.00	0.00	0.47
119	38.02	38.65	22803	13627	9176	6733.78	0.30	0.00	0.00	2.47
120	38.02	38.62	23020	13743	9277	6798.28	0.30	0.00	0.00	10.32
121	38.02	38.60	23232	13854	9378	6861.73	0.30	0.00	0.00	1.24
122	38.02	38.58	23451	13972	9479	6927.29	0.30	0.00	0.00	5.08
123	37.97	38.56	23564	14084	9480	6961.24	0.30	0.05	0.00	2.36
124	37.97	38.54	23780	14199	9581	7025.53	0.30	0.00	0.00	1.89
125	37.97	38.51	23995	14311	9684	7090.08	0.30	0.00	0.00	5.61
126	37.97	38.49	24206	14421	9785	7153.10	0.30	0.00	0.00	0.35
127	37.97	38.45	24424	14535	9889	7219.17	0.30	0.00	0.00	1.57
128	37.97	38.43	24635	14645	9990	7282.92	0.30	0.00	0.00	7.83
129	37.97	38.39	24852	14756	10096	7348.44	0.30	0.00	0.00	4.96
130	37.97	38.32	25067	14870	10197	7412.01	0.30	0.00	0.00	4.66
131	37.94	38.25	25181	14983	10198	7445.91	0.30	0.03	0.00	3.48
132	37.94	38.23	25392	15093	10299	7509.95	0.30	0.00	0.00	3.30
133	37.94	38.23	25606	15206	10400	7574.45	0.30	0.00	0.00	1.36
134	37.94	38.22	25817	15316	10501	7637.54	0.30	0.00	0.00	14.47
135	37.94	38.22	26034	15432	10602	7701.35	0.30	0.00	0.00	2.51
136	37.94	38.22	26248	15545	10703	7765.06	0.30	0.00	0.00	12.73
137	37.94	38.21	26457	15653	10804	7827.18	0.30	0.00	0.00	3.60
138	37.94	38.21	26676	15771	10905	7891.88	0.30	0.00	0.00	4.67
139	37.94	38.21	26890	15884	11006	7955.77	0.30	0.00	0.00	10.97
140	37.94	38.20	27101	15992	11109	8019.03	0.30	0.00	0.00	0.58
141	37.94	38.20	27316	16106	11210	8082.57	0.30	0.00	0.00	15.23
142	37.94	38.20	27532	16221	11311	8146.22	0.30	0.00	0.00	5.08
143	37.94	38.19	27749	16335	11414	8210.45	0.30	0.00	0.00	7.97
144	37.94	38.19	27961	16446	11515	8273.45	0.30	0.00	0.00	5.48
145	37.94	38.19	28174	16559	11615	8336.00	0.30	0.00	0.00	2.16
146	37.94	38.18	28385	16669	11716	8397.91	0.30	0.00	0.00	5.32
147	37.94	38.18	28597	16780	11817	8460.52	0.30	0.00	0.00	1.90
148	37.94	38.18	28815	16897	11918	8524.51	0.30	0.00	0.00	3.04
149	37.94	38.17	29028	17009	12019	8587.18	0.30	0.00	0.00	2.95
150	37.94	38.17	29242	17122	12120	8651.08	0.30	0.00	0.00	11.26
151	37.94	38.16	29457	17236	12221	8715.24	0.30	0.00	0.00	3.21
152	37.94	38.16	29675	17353	12322	8779.40	0.30	0.00	0.00	3.33
153	37.94	38.15	29888	17465	12423	8842.75	0.30	0.00	0.00	1.94
154	37.94	38.15	30101	17577	12524	8906.52	0.30	0.00	0.00	1.05
155	37.94	38.14	30310	17685	12625	8968.58	0.30	0.00	0.00	3.92
156	37.94	38.14	30525	17798	12727	9032.33	0.30	0.00	0.00	7.47
157	37.94	38.13	30741	17913	12828	9096.82	0.30	0.00	0.00	2.81
158	37.94	38.12	30952	18023	12929	9158.99	0.30	0.00	0.00	0.78
159	37.94	38.12	31164	18134	13030	9220.88	0.30	0.00	0.00	1.65
160	37.94	38.12	31375	18244	13131	9283.49	0.30	0.00	0.00	1.93
161	37.94	38.11	31586	18353	13233	9345.65	0.30	0.00	0.00	4.90
162	37.94	38.11	31795	18461	13334	9407.71	0.30	0.00	0.00	8.52
163	37.94	38.11	32007	18572	13435	9470.32	0.30	0.00	0.00	8.33
164	37.94	38.11	32216	18680	13536	9530.78	0.30	0.00	0.00	6.82
165	37.94	38.10	32430	18793	13637	9594.63	0.30	0.00	0.00	3.97
166	37.94	38.10	32644	18906	13738	9658.37	0.30	0.00	0.00	4.20
167	37.94	38.10	32855	19016	13839	9720.52	0.30	0.00	0.00	7.36
168	37.94	38.09	33067	19128	13939	9783.55	0.30	0.00	0.00	9.18
169	37.94	38.09	33279	19238	14041	9845.81	0.30	0.00	0.00	1.67
170	37.94	38.09	33495	19352	14143	9909.22	0.30	0.00	0.00	6.38
171	37.94	38.09	33709	19465	14244	9971.95	0.30	0.00	0.00	2.35
172	37.94	38.08	33924	19579	14345	10035.07	0.30	0.00	0.00	2.03
173	37.94	38.08	34132	19687	14445	10095.86	0.30	0.00	0.00	6.88
174	37.94	38.08	34345	19799	14546	10159.07	0.30	0.00	0.00	3.23
175	37.94	38.08	34555	19908	14647	10221.04	0.30	0.00	0.00	0.93
176	37.94	38.07	34767	20019	14748	10284.25	0.30	0.00	0.00	1.12
177	37.94	38.07	34984	20135	14849	10348.87	0.30	0.00	0.00	4.54
178	37.94	38.06	35196	20247	14949	10411.63	0.30	0.00	0.00	3.76
179	37.94	38.06	35410	20360	15050	10475.02	0.30	0.00	0.00	1.48
180	37.94	38.06	35624	20473	15151	10538.32	0.30	0.00	0.00	1.13
181	37.94	38.05	35841	20589	15252	10602.35	0.30	0.00	0.00	1.64
182	37.94	38.05	36051	20698	15353	10664.19	0.30	0.00	0.00	1.43
183	37.94	38.05	36263	20809	15454	10726.62	0.30	0.00	0.00	0.87
184	37.93	38.04	36373	20918	15455	10758.48	0.30	0.00	0.00	0.62
185	37.92	38.04	36482	21026	15456	10790.84	0.30	0.01	0.00	0.40
186	37.92	38.03	36696	21139	15557	10854.93	0.30	0.00	0.00	0.52
187	37.92	38.02	36912	21254	15658	10919.58	0.30	0.00	0.00	0.15
188	37.92	38.02	37121	21362	15759	10982.57	0.30	0.00	0.00	0.41
189	37.92	38.02	37327	21467	15860	11044.02	0.30	0.00	0.00	0.58
190	37.92	38.01	37537	21576	15961	11105.49	0.30	0.00	0.00	0.30
191	37.92	38.00	37645	21683	15962	11138.02	0.30	0.00	0.00	0.26
192	37.92	37.99	37860	21797	16063	11201.86	0.30	0.00	0.00	0.22
193	37.91	37.98	37972	21908	16064	11235.50	0.30	0.00	0.00	0.21
194	37.91	37.97	38080	22015	16065	11267.03	0.30	0.00	0.00	0.05
195	37.91	37.96	38291	22125	16166	11329.57	0.30	0.00	0.00	0.23
196	37.91	37.95	38504	22237	16267	11393.03	0.30	0.00	0.00	0.32
197	37.91	37.95	38712	22344	16368	11454.80	0.30	0.00	0.00	0.16
198	37.91	37.94	38932	22463	16469	11519.83	0.30	0.00	0.00	0.20
199	37.88	37.94	39045	22575	16470	11553.05	0.30	0.03	0.00	0.29
200	37.88	37.94	39256	22685	16571	11615.46	0.30	0.00	0.00	0.21
201	37.88	37.93	39467	22795	16672	11678.82	0.30	0.00	0.00	0.10
202	37.88	37.93	39682	22908	16774	11742.69	0.30	0.00	0.00	0.07
203	37.88	37.93	39791	23016	16775	11775.30	0.30	0.00	0.00	0.16
204	37.88	37.93	40010	23134	16876	11841.05	0.30	0.00	0.00	0.22
205	37.88	37.92	40217	23240	16977	11903.81	0.30	0.00	0.00	0.05
206	37.88	37.92	40423	23345	17078	11963.95	0.30	0.00	0.00	0.05
207	37.88	37.92	40637	23458	17179	12027.96	0.30	0.00	0.00	0.11
208	37.88	37.92	40852	23572	17280	12092.07	0.30	0.00	0.00	0.04
209	37.88	37.91	41067	23686	17381	12155.79	0.30	0.00	0.00	0.02
210	37.88	37.91	41280	23798	17482	12219.49	0.30	0.00	0.00	0.02
211	37.87	37.91	41391	23908	17483	12252.68	0.30	0.00	0.00	0.02
212	37.87	37.91	41606	24022	17584	12317.59	0.30	0.00	0.00	0.11
213	37.87	37.90	41714	24129	17585	12348.84	0.30	0.00	0.00	0.24
214	37.87	37.90	41928	24242	17686	12412.45	0.30	0.00	0.00	0.22
215	37.87	37.90	42042	24355	17687	12446.25	0.30	0.00	0.00	0.14
216	37.87	37.90	42159	24471	17688	12481.39	0.30	0.00	0.00	0.07
217	37.87	37.89	42372	24584	17788	12545.10	0.30	0.00	0.00	0.02
218	37.87	37.89	42589	24700	17889	12609.76	0.30	0.00	0.00	0.31
219	37.86	37.89	42705	24815	17890	12644.38	0.30	0.01	0.00	0.18
220	37.86	37.89	42914	24923	17991	12705.37	0.30	0.00	0.00	0.05
221	37.86	37.88	43127	25035	18092	12769.47	0.30	0.00	0.00	0.02
222	37.86	37.88	43344	25151	18193	12833.99	0.30	0.00	0.00	0.04
223	37.86	37.88	43563	25269	18294	12898.89	0.30	0.00	0.00	0.04
224	37.86	37.88	43774	25379	18395	12962.25	0.30	0.00	0.00	0.04
225	37.86	37.88	43887	25491	18396	12995.98	0.30	0.00	0.00	0.03
226	37.86	37.87	43995	25598	18397	13027.76	0.30	0.00	0.00	0.01
227	37.86	37.87	44216	25718	18498	13093.20	0.30	0.00	0.00	0.04
228	37.85	37.87	44331	25832	18499	13128.39	0.30	0.01	0.00	0.01
229	37.85	37.87	44543	25943	18600	13190.96	0.30	0.00	0.00	0.01
230	37.85	37.86	44653	26052	18601	13223.13	0.30	0.00	0.00	0.04
231	37.85	37.86	44870	26168	18702	13287.85	0.30	0.00	0.00	0.01
232	37.84	37.86	44983	26280	18703	13321.71	0.30	0.01	0.00	0.04
233	37.84	37.86	45196	26392	18804	13384.14	0.30	0.00	0.00	0.02
234	37.84	37.86	45410	26505	18905	13447.64	0.30	0.00	0.00	0.00
235	37.84	37.86	45619	26613	19006	13509.24	0.30	0.00	0.00	0.01
236	37.84	37.86	45830	26723	19107	13571.47	0.30	0.00	0.00	0.01
237	37.84	37.86	46041	26833	19208	13632.89	0.30	0.00	0.00	0.03
238	37.84	37.85	46261	26952	19309	13696.64	0.30	0.00	0.00	0.05
239	37.84	37.85	46373	27063	19310	13729.11	0.30	0.00	0.00	0.00
240	37.84	37.85	46586	27175	19411	13791.54	0.30	0.00	0.00	0.01
241	37.84	37.85	46799	27287	19512	13854.20	0.30	0.00	0.00	0.01
242	37.84	37.85	47008	27395	19613	13915.42	0.30	0.00	0.00	0.02
243	37.84	37.85	47215	27501	19714	13976.02	0.30	0.00	0.00	0.02
244	37.84	37.85	47428	27613	19815	14039.50	0.30	0.00	0.00	0.02
245	37.84	37.85	47642	27726	19916	14102.26	0.30	0.00	0.00	0.00
246	37.84	37.85	47759	27842	19917	14136.58	0.30	0.00	0.00	0.00
247	37.84	37.84	47972	27954	20018	14199.13	0.30	0.00	0.00	0.04
248	37.82	37.84	48085	28066	20019	14232.51	0.30	0.02	0.00	0.01
249	37.81	37.84	48199	28179	20020	14266.50	0.30	0.01	0.00	0.01
250	37.81	37.84	48310	28289	20021	14298.52	0.30	0.00	0.00	0.08
251	37.81	37.84	48521	28399	20122	14361.29	0.30	0.00	0.00	0.00
252	37.81	37.84	48735	28512	20223	14424.80	0.30	0.00	0.00	0.02
253	37.79	37.84	48847	28623	20224	14457.46	0.30	0.02	0.00	0.02
254	37.79	37.84	49058	28733	20325	14520.19	0.30	0.00	0.00	0.01
255	37.79	37.84	49273	28847	20426	14583.17	0.30	0.00	0.00	0.03
256	37.79	37.84	49483	28956	20527	14645.28	0.30	0.00	0.00	0.15
257	37.78	37.84	49594	29066	20528	14677.58	0.30	0.01	0.00	0.25
258	37.78	37.83	49808	29179	20629	14740.41	0.30	0.00	0.00	0.23
259	37.78	37.83	50020	29290	20730	14803.41	0.30	0.00	0.00	0.04
260	37.78	37.83	50233	29402	20831	14865.65	0.30	0.00	0.00	0.18
261	37.78	37.83	50343	29511	20832	14898.46	0.30	0.00	0.00	0.08
262	37.78	37.83	50554	29620	20934	14960.77	0.30	0.00	0.00	0.26
263	37.78	37.83	50773	29738	21035	15024.13	0.30	0.00	0.00	0.01
264	37.78	37.83	50984	29848	21136	15087.21	0.30	0.00	0.00	0.47
265	37.78	37.82	51195	29958	21237	15149.60	0.30	0.00	0.00	0.61
266	37.78	37.82	51403	30065	21338	15210.79	0.30	0.00	0.00	0.16
267	37.78	37.82	51614	30175	21439	15273.38	0.30	0.00	0.00	0.01
268	37.78	37.82	51830	30290	21540	15337.12	0.30	0.00	0.00	0.02
