Generation 114
49.18,[343.119, 379.192, 351.65, 313.193, 358.847, 411.722, 343.245, 378.619, 373.582, 35.439, 18.245, 66.601, 133.894, 36.137, 19.554, 44.686, 44.101, 28.411, 140.876, 43.908, 32.898, 128.171, 183.192, 0.004, 0.578, 0.004, 2.676, 0.485, 0.009, 3.997, 5.507, 29.992, 0.014, 0.005, 9.671, 0.032, 2.641, 15.554, 22.425, 2.21, 10.346, 0.073, 0.041, 0.038, 119.775]
49.18,[343.624, 379.927, 351.617, 312.944, 356.36, 411.585, 344.725, 378.508, 373.123, 35.45, 18.21, 66.666, 133.945, 36.195, 19.357, 44.768, 44.103, 28.604, 140.958, 43.961, 32.962, 128.231, 184.889, 0.005, 0.579, 0.012, 2.666, 0.486, 0.002, 4.0, 5.473, 30.002, 0.012, 0.013, 9.724, 0.065, 2.624, 15.544, 22.435, 2.216, 10.338, 0.125, 0.032, 0.023, 119.782]
49.18,[342.963, 380.337, 352.292, 313.496, 358.278, 412.27, 342.23, 378.67, 373.391, 35.44, 18.233, 66.573, 133.86, 36.079, 19.474, 44.564, 43.985, 28.356, 140.934, 43.867, 32.969, 128.3, 182.772, 0.005, 0.58, 0.002, 2.704, 0.487, 0.006, 3.999, 5.497, 29.991, 0.019, 0.001, 9.667, 0.03, 2.647, 15.563, 22.419, 2.207, 10.353, 0.082, 0.013, 0.035, 119.757]
49.18,[342.967, 380.286, 352.257, 313.507, 358.316, 412.266, 342.279, 378.669, 373.399, 35.439, 18.233, 66.572, 133.853, 36.079, 19.473, 44.567, 43.99, 28.36, 140.932, 43.869, 32.973, 128.298, 182.794, 0.005, 0.58, 0.002, 2.702, 0.487, 0.007, 3.999, 5.497, 29.991, 0.02, 0.001, 9.668, 0.03, 2.648, 15.563, 22.418, 2.207, 10.352, 0.081, 0.015, 0.035, 119.758]
49.18,[343.2, 377.539, 351.268, 313.612, 359.837, 411.705, 344.768, 378.619, 373.971, 35.438, 18.253, 66.533, 133.82, 36.17, 19.532, 44.813, 44.088, 28.386, 141.002, 43.942, 33.02, 128.366, 183.516, 0.003, 0.602, 0.012, 2.653, 0.495, 0.003, 3.994, 5.516, 30.001, 0.02, 0.005, 9.725, 0.064, 2.599, 15.551, 22.402, 2.194, 10.335, 0.061, 0.093, 0.023, 119.817]
49.18,[343.2, 377.539, 351.268, 313.612, 359.837, 411.705, 344.768, 378.619, 373.971, 35.438, 18.253, 66.533, 133.82, 36.17, 19.532, 44.813, 44.088, 28.386, 141.002, 43.942, 33.02, 128.366, 183.516, 0.003, 0.602, 0.012, 2.653, 0.495, 0.003, 3.994, 5.516, 30.001, 0.02, 0.005, 9.725, 0.064, 2.599, 15.551, 22.402, 2.194, 10.335, 0.061, 0.093, 0.023, 119.817]
49.18,[343.2, 377.539, 351.268, 313.612, 359.837, 411.705, 344.768, 378.619, 373.971, 35.438, 18.253, 66.533, 133.82, 36.17, 19.532, 44.813, 44.088, 28.386, 141.002, 43.942, 33.02, 128.366, 183.516, 0.003, 0.602, 0.012, 2.653, 0.495, 0.003, 3.994, 5.516, 30.001, 0.02, 0.005, 9.725, 0.064, 2.599, 15.551, 22.402, 2.194, 10.335, 0.061, 0.093, 0.023, 119.817]
49.18,[343.188, 380.008, 351.531, 313.458, 357.491, 412.369, 345.18, 378.527, 373.471, 35.422, 18.237, 66.215, 133.622, 36.115, 19.556, 44.68, 44.075, 28.54, 140.629, 43.998, 32.988, 128.471, 182.854, 0.006, 0.578, 0.017, 2.656, 0.483, 0.019, 3.971, 5.529, 29.987, 0.021, 0.017, 9.725, 0.086, 2.614, 15.548, 22.356, 2.19, 10.336, 0.142, 0.021, 0.003, 119.697]
49.19,[343.661, 379.206, 350.557, 314.153, 355.587, 412.225, 343.063, 378.286, 373.33, 35.353, 18.148, 66.54, 134.048, 36.161, 19.5, 44.734, 44.362, 28.612, 140.967, 44.088, 32.697, 128.01, 183.891, 0.004, 0.592, 0.01, 2.693, 0.492, 0.015, 3.997, 5.482, 29.997, 0.032, 0.016, 9.698, 0.071, 2.654, 15.536, 22.453, 2.239, 10.336, 0.122, 0.022, 0.043, 119.808]
49.19,[343.672, 379.258, 350.611, 314.13, 355.525, 412.221, 343.081, 378.298, 373.319, 35.355, 18.148, 66.537, 134.038, 36.156, 19.501, 44.727, 44.352, 28.61, 140.97, 44.086, 32.699, 128.014, 183.854, 0.004, 0.591, 0.01, 2.693, 0.491, 0.015, 3.997, 5.481, 29.997, 0.032, 0.016, 9.698, 0.072, 2.653, 15.536, 22.453, 2.238, 10.336, 0.123, 0.021, 0.042, 119.806]
