Generation 100
44.18,[321.505, 350.855, 666.546, 96.898, 139.722, 22.073, 115.501, 0.147]
44.19,[323.539, 350.791, 670.827, 99.188, 138.706, 22.998, 115.421, 0.137]
44.19,[321.345, 346.564, 665.446, 97.35, 140.361, 20.902, 115.578, 0.107]
44.19,[321.234, 348.527, 667.285, 97.182, 140.633, 21.066, 115.859, 0.13]
44.19,[324.529, 352.782, 671.855, 100.124, 139.779, 22.242, 115.571, 0.103]
44.19,[323.204, 348.279, 670.053, 98.717, 139.017, 22.719, 115.454, 0.132]
44.19,[323.197, 348.295, 669.983, 98.689, 139.035, 22.671, 115.453, 0.132]
44.19,[321.411, 352.366, 666.633, 97.523, 139.447, 21.716, 115.396, 0.15]
44.19,[320.899, 351.366, 667.305, 97.304, 141.394, 21.101, 115.818, 0.12]
44.19,[320.787, 351.588, 667.204, 97.278, 141.368, 21.066, 115.822, 0.121]
44.19,[323.085, 343.486, 669.932, 99.061, 138.977, 22.629, 115.432, 0.124]
44.19,[321.151, 350.592, 666.622, 96.948, 139.724, 22.155, 115.496, 0.154]
44.19,[323.221, 343.075, 670.204, 99.242, 138.995, 22.892, 115.421, 0.113]
44.19,[320.832, 351.398, 667.226, 97.257, 141.463, 21.055, 115.827, 0.119]
44.19,[323.052, 354.981, 671.153, 99.59, 139.251, 22.625, 115.475, 0.137]
44.19,[321.205, 351.369, 668.96, 97.407, 140.957, 22.0, 115.858, 0.136]
44.20,[323.303, 350.197, 668.519, 97.912, 139.374, 21.755, 115.478, 0.139]
44.20,[323.08, 348.478, 669.195, 97.877, 139.763, 22.721, 115.459, 0.133]
44.20,[323.225, 342.089, 670.4, 99.436, 138.873, 23.012, 115.393, 0.111]
44.20,[322.065, 349.217, 667.767, 97.24, 140.042, 21.731, 115.643, 0.129]
44.21,[323.208, 346.192, 669.196, 98.17, 139.169, 22.552, 115.451, 0.122]
44.21,[321.897, 349.907, 667.57, 97.119, 140.178, 21.612, 115.682, 0.128]
44.21,[322.76, 355.31, 670.009, 98.868, 139.378, 21.949, 115.532, 0.136]
44.21,[321.963, 351.083, 664.634, 96.743, 139.627, 20.491, 115.49, 0.151]
44.21,[322.117, 352.066, 670.599, 98.132, 141.533, 22.758, 115.739, 0.168]
44.21,[321.902, 353.545, 667.51, 97.146, 140.53, 21.064, 115.802, 0.122]
44.21,[323.205, 346.99, 668.938, 97.896, 139.214, 22.465, 115.458, 0.125]
44.21,[321.622, 348.528, 666.344, 97.447, 140.265, 21.277, 115.496, 0.105]
44.21,[321.928, 353.348, 667.664, 97.174, 140.503, 21.116, 115.798, 0.122]
44.21,[322.426, 348.305, 668.695, 97.657, 141.755, 21.573, 115.762, 0.098]
44.21,[320.525, 351.877, 666.4, 96.914, 141.523, 20.749, 115.844, 0.118]
44.21,[321.609, 348.461, 666.286, 97.463, 140.269, 21.26, 115.487, 0.104]
44.21,[321.609, 348.462, 666.286, 97.462, 140.269, 21.261, 115.487, 0.104]
44.22,[321.143, 350.732, 666.331, 97.209, 140.336, 20.823, 115.637, 0.132]
44.22,[324.763, 352.973, 671.712, 99.868, 139.708, 22.348, 115.603, 0.085]
44.22,[322.36, 337.447, 667.574, 97.641, 141.164, 21.337, 115.797, 0.106]
44.22,[322.537, 348.082, 668.796, 97.682, 141.781, 21.607, 115.758, 0.096]
44.22,[324.273, 352.292, 671.112, 99.416, 139.722, 22.442, 115.536, 0.091]
44.22,[321.173, 349.948, 667.741, 96.979, 141.027, 20.611, 116.092, 0.121]
44.22,[322.115, 340.111, 668.194, 97.515, 141.075, 21.947, 115.716, 0.111]
44.22,[324.841, 353.909, 672.339, 100.155, 139.255, 22.091, 115.546, 0.123]
44.22,[323.378, 352.691, 668.878, 97.508, 139.057, 22.156, 115.535, 0.149]
44.22,[320.503, 345.662, 665.043, 97.582, 140.356, 22.034, 115.255, 0.084]
44.23,[321.935, 341.291, 667.394, 97.404, 140.886, 21.724, 115.642, 0.105]
44.23,[321.594, 350.51, 667.512, 97.43, 141.651, 20.734, 115.769, 0.112]
44.23,[322.948, 346.428, 669.725, 98.571, 139.109, 22.475, 115.406, 0.127]
44.23,[320.421, 351.029, 666.745, 96.934, 141.734, 20.813, 115.855, 0.117]
44.23,[323.189, 344.602, 669.086, 98.051, 139.131, 22.524, 115.389, 0.14]
44.23,[323.591, 341.384, 670.679, 99.613, 138.457, 23.115, 115.349, 0.105]
